unique_ID_1,snap_wave1,imputed_snap_wave1,wave ID,marital status,sex,hispanic origin,race,education,citizenship,snap,employment,state,age,imputed_snap,SNAP_wave1,SNAP
000418057553_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,Other,Bachelor's degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,67,FALSE,No,No
000418086233_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,81,FALSE,No,No
000418086360_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,79,FALSE,No,No
000418086360_103,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,62,FALSE,No,No
000418086753_101,SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Wisconsin,58,FALSE,Yes,Yes
000418086894_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,36,FALSE,No,No
000418086894_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,43,FALSE,No,No
000418086933_101,Not SNAP covered,FALSE,2,Widowed,Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,75,FALSE,No,No
000418092207_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,58,FALSE,No,No
000418092660_101,SNAP covered,FALSE,2,Separated,Male,Non hispanic,White,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,37,TRUE,Yes,Yes
000418114194_101,SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,29,FALSE,Yes,Yes
000418114194_102,SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Less than high school,US citizen,SNAP covered,"With a job all month, absent from work without pay 1+ weeks, absence due to layoff",Kansas,32,FALSE,Yes,Yes
000418114602_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,36,FALSE,No,No
000418114602_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,40,FALSE,No,No
000418172023_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,57,FALSE,No,No
000418172023_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,59,FALSE,No,No
000418172253_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,77,FALSE,No,No
000418172253_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,80,FALSE,No,No
000418172516_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,62,FALSE,No,No
000418172516_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,66,FALSE,No,No
000418172516_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,Other,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,33,FALSE,No,No
000418172676_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,27,FALSE,No,No
000418172676_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,30,FALSE,No,No
000418172689_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,54,FALSE,No,No
000418172689_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,Other,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,46,FALSE,No,No
000418172737_101,SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,Other,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,50,FALSE,Yes,Yes
000418172737_102,SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,61,FALSE,Yes,Yes
000418172737_103,SNAP covered,FALSE,2,Never married,Female,Non hispanic,Other,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,25,FALSE,Yes,Yes
000418185029_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,42,FALSE,No,No
000418185029_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,40,FALSE,No,No
000418185142_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Hispanic,White,Less than high school,Non US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,36,FALSE,No,No
000418185142_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Hispanic,White,High school,Non US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,34,FALSE,No,No
000418185482_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,41,FALSE,No,No
000418185482_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,42,FALSE,No,No
000418185773_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,88,FALSE,No,No
000418199173_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,69,FALSE,No,No
000418199360_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,56,FALSE,No,No
000418199619_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,52,FALSE,No,No
000418199619_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,59,FALSE,No,No
000418199753_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,58,FALSE,No,No
000418199753_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,58,FALSE,No,No
000418199753_103,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,Other,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,26,FALSE,No,No
000418199753_104,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,Other,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,18,FALSE,No,No
000418199755_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,Asian,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,63,FALSE,No,No
000418199755_102,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,19,FALSE,No,No
000418199950_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,28,FALSE,No,No
000418199950_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,28,FALSE,No,No
000418209035_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,58,FALSE,No,No
000418209035_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,55,FALSE,No,No
000418209316_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,52,TRUE,No,No
000418209316_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Hispanic,White,Less than high school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,54,TRUE,No,No
000418209373_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,44,FALSE,No,No
000418209373_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,43,FALSE,No,No
000418209373_103,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,21,FALSE,No,No
000418209852_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,34,FALSE,No,No
000418209903_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,34,FALSE,No,No
000418209905_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,88,FALSE,No,No
000418209905_102,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,Other,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,60,FALSE,No,No
000418215316_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,Other,Some college,US citizen,SNAP covered,"With a job entire month, worked all weeks",Oklahoma,56,FALSE,No,Yes
000418215316_102,SNAP covered,FALSE,2,Never married,Female,Non hispanic,Other,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,27,FALSE,Yes,Yes
000418215449_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,39,FALSE,No,No
000418215449_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,41,FALSE,No,No
000418215449_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,18,FALSE,No,No
000418215852_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,29,FALSE,No,No
000418215852_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,36,FALSE,No,No
000418215946_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,62,FALSE,No,No
000418228197_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,67,FALSE,No,No
000418228207_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,56,FALSE,No,No
000418228259_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,52,FALSE,No,No
000418228259_102,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job at least 1 but not all weeks, some weeks on layoff or looking for work",Oklahoma,52,FALSE,No,No
000418228660_101,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,52,FALSE,No,No
000418228660_102,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,25,FALSE,No,No
000418228831_101,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,68,FALSE,No,No
000418228831_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,67,FALSE,No,No
000418228831_103,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,55,FALSE,No,No
000418276060_101,SNAP covered,FALSE,2,Never married,Female,Non hispanic,Black,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,35,FALSE,Yes,Yes
000418276060_102,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,Black,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,78,FALSE,No,No
000418276630_101,SNAP covered,FALSE,2,Never married,Male,Non hispanic,Other,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,60,FALSE,Yes,Yes
000418276944_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,66,FALSE,No,No
000418276944_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,65,FALSE,No,No
000418294283_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,40,FALSE,No,No
000418294283_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,45,FALSE,No,No
000418294852_101,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,57,FALSE,No,No
000418294852_102,Not SNAP covered,FALSE,2,Widowed,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,88,FALSE,No,No
000418294946_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,52,FALSE,No,No
000418303086_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,87,FALSE,No,No
000418303086_102,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,69,FALSE,No,No
000418303086_103,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,69,FALSE,No,No
000418303316_101,Not SNAP covered,FALSE,2,Divorced,Female,Hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,62,FALSE,No,No
000418303449_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,34,FALSE,No,No
000418303449_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,37,FALSE,No,No
000418303905_101,SNAP covered,FALSE,2,Never married,Female,Non hispanic,Black,High school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,65,FALSE,Yes,Yes
000418303905_102,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,Black,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,46,TRUE,No,No
000418334060_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,Other,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,78,FALSE,No,No
000418334060_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,78,FALSE,No,No
000418334197_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,34,FALSE,No,No
000418334197_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,58,FALSE,No,No
000418334259_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,63,FALSE,No,No
000418334259_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,63,FALSE,No,No
000418334259_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,31,FALSE,No,No
000418334596_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,82,FALSE,No,No
000418334944_101,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,Black,Some college,US citizen,SNAP covered,"With a job entire month, worked all weeks",Oklahoma,33,TRUE,No,Yes
000418342067_101,SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,Other,Some college,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,30,FALSE,Yes,Yes
000418342067_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,32,FALSE,No,No
000418359149_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,59,FALSE,No,No
000418359149_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,57,FALSE,No,No
000418359259_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,59,FALSE,No,No
000418359259_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,76,FALSE,No,No
000418359294_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,Black,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,67,FALSE,No,No
000418359294_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,Black,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,65,FALSE,No,No
000418359660_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,43,FALSE,No,No
000418359660_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,Other,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,19,FALSE,No,No
000418359944_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Oklahoma,76,FALSE,No,No
